case_id,primary_subject,complaint_narrative,scam_type,website,screenshot_detail_url,screenshot_actual_url,screenshot_local
1,"AstraX
eaialliance.com","A California consumer reports using a platform called AstraX, located at https://eaialliance.com, to trade crypto assets after learning about it through a WhatsApp group. The group members instructed the consumer how to engage in “margin” trading and provided trading signals they claimed would enable to consumer to make profitable trades. But, when the platform issued a purportedly fabricated margin call,  the consumer’s balance in their account disappeared.

The consumer has not been able to withdraw their funds from the platform, which is no longer operational. All told, the victim lost $5,000.","Fraudulent Trading Platform

Signal Selling Scam",https://eaialliance.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/astrax-trades-pages-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/AstraX-Trades.jpg,screenshots_v2\case_001.jpg
2,b2c2-amm.com,"A California resident reports being contacted by an individual online who asked to move the conversation to a messaging platform.  After forming a relationship, the “friend” brought up the topic of investing in crypto assets, and introduced the victim to a crypto asset trading platform located at b2c2-amm.com, saying they could engage in “joint-investing” where the “friend” would match whatever amount the victim invested. After a while the platform told the victim there was a potential “data-breach” and demanded $77,000 to withdraw their funds. The victim paid, but the platform demanded an additional $100,000 “investment” to fully withdraw their funds. The victim did not pay and has been unable to withdraw their funds. The website is no longer operational.","Fraudulent Trading Platform

Pig Butchering Scam",b2c2-amm.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/b2c2-amm-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/b2c2-Amm-Homepage-600.jpg,screenshots_v2\case_002.jpg
3,sannlt.com,"A California resident reports that after losing some crypto assets they received a letter from an “attorney” who claimed to work for a prominent law firm which could help recover the lost crypto assets.  The “attorney” referred the resident to a “technician” in the firm, who told the resident to deposit some crypto assets into an account so the law firm could ensure that the transaction was not money laundering. The resident deposited the funds, which then disappeared. The resident has not been able to recover any of the lost crypto assets and cannot contact the so-called law firm.

The DFPI urges consumers to exercise extreme caution before responding to any solicitation guaranteeing recovery of lost or stolen crypto or offering investment or financial services, especially if they ask you to pay upfront before delivering a product or service or ask you to provide personal information including account information.",Fraudulent Trading Platform,sannlt.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/sannlt-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/sannlt-homepage.png,screenshots_v2\case_003.png
4,Lexor Finance,"A California resident reports about their experience with an online crypto asset platform Lexor finance, located at webfinance.io. The resident saw a Facebook ad that claimed to be linked to a well-known CEO and said the platform used AI to help investors. Believing the ad, the resident sent funds to the bitcoin wallet address bc1qch8azpgn4vnykfmp2sqn8tlxw08z2xgk433jep. The victim reports they were not able to withdraw their funds and the website is no longer operational. All told the victim lost $5,000.",Fraudulent Trading Platform,https://wb.lexorfinance.io/,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/lexor-finance-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/Lexor-homepage.jpg,screenshots_v2\case_004.jpg
5,miycoin.com,"A California resident reports on their experience with fraudulent platform, http://h5.miycoin.com/. The victim reports that they received a WhatsApp message to join a group where the group members would send trading signals. Following the group's instructions, the victim used h5.myicoin.com for cryptocurrency trading.  After engaging in multiple trades,  a person named “Professor Ivelyn” on the WhatsApp group demanded the victim to pay a 30% “tax” to the platform. The victim paid the “tax” but could not withdraw their funds without paying additional “taxes.” The website is no longer operational.","Investment Group Scam

Fraudulent Trading Platform",http://h5.miycoin.com/,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/miycoin-com-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/Miycoin.png,screenshots_v2\case_005.png
6,owallet.com,"A California resident reports viewing a YouTube video which touted a crypto asset trading platform operating at owallet.com for trading. The victim opened an account on owallet.com and transferred some crypto assets to sell there. But when the victim tried to withdraw their funds, the platforms’s customer service rep said their account was frozen and demanded they deposit $25,000 in their owallet account to complete the withdrawal. The victim has been unable to recover their funds and the website is no longer operational.",Fraudulent Trading Platform,http://www.owallet.com/,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/owallet-com-error-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/owallet.jpg,screenshots_v2\case_006.jpg
7,Global Capitals,"A California resident reports being contacted by a blogger promoting a crypto asset coin. The blogger invited the victim to open an account on the crypto asset trading platform, Global Capitals at https://app.globalcapitalsgc.com, and convinced the victim to transfer funds into their account to trade for profits. The victim did so, and believed they were making profits trading along with the blogger. But when the victim tried to withdraw their funds the platform denied their request. Then the blogger messaged the victim and told them to send more to the platform which would help with the withdrawal. The victim did so, but was still unable to withdraw their funds. The victim has been unable to recover their funds, and the website is no longer operational.",Fraudulent Trading Platform,https://app.globalcapitalsgc.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/global-capitals-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/Global-Capital-Homepage.png,screenshots_v2\case_007.png
8,SB Signal Sniper Group,"A California resident reports seeing an ad on Instagram that when clicked on, led them to the Telegram group, “SB Signal Sniper”. The group was led by a “Professor” and “Assistant” who said they would provide trade signals to the group which could be profitable, if they opened an account and traded on the crypto asset trading platform operating at  http://coingrocer.net/. The victim opened an account on the platform, deposited funds, and followed the trading signals, believing they were making profits. But when they tried to withdraw funds, the platform demanded they pay “mining fees”. The victim paid, but the platform requested an additional $3,000 for “computing power”. The victim has been unable to recover any funds and the website is no longer operational. All told, the resident lost at least $6,000 on the platform.","Fraudulent Trading Platform

Investment Group Scam",http://coingrocer.net/,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/coingrocer-net-chat-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/coingrocer-chat-page.jpg,screenshots_v2\case_008.jpg
9,web3app.rest,"A California resident reports meeting an individual online named ""Aileen"" and beginning a relationship. Aileen told the resident how their aunt was a successful investor that owned properties in France and Croatia. At some point Aileen steered the conversation to investing in crypto assets, and suggested the victim start a “blockchain savings plan” on the crypto asset trading platform located at web3app.rest, claiming she had made money. After investing small amounts of money into the “short term savings plan”, the victim was able to withdraw some of their funds. Encouraged, the victim deposited more money onto the platform. At some point, the victim was asked to deposit $500,000 for “security fees.” The victim refused and now cannot withdraw their funds. The website is no longer operational. All told the victim lost more than $2.5 million on the platform.","Fraudulent Trading Platform 

Pig Butchering Scam",web3app.rest,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/web3app-rest-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/12/web3app.rest-homepage.jpeg,screenshots_v2\case_009.jpeg
10,goldmarketer.net,"A California resident reports on their experience with the crypto asset trading  platform at goldmarketer.net, which they heard about from someone they met on WhatsApp. Following the WhatsApp friend’s instructions, the victim opened an account on the platform and deposited funds to trade for a profit. But when the victim tried to withdraw their funds, the platform demanded they pay “taxes”. The victim is unable to access their funds and the website is no longer operational.","Fraudulent Trading Platform

Pig Butchering Scam",goldmarketer.net,,,
